Req ID,Type,Requirement,Spec reference,Implementation (file:function),Verification (TC IDs),Evidence path(s),"Status",Notes
RQ-01,Design,"Uses 4 connection nodes -- Terminal1, Terminal2, MCU1, MCU2",System Overview,Hardware,CR-001,evidence/SYS-22_HardwareSystem.mov,In Progress,
RQ-02,Design,"Uses 3 serial links: PC1<->MCU1, MCU1<->MCU2, MCU2<->PC2",System Overview,"Hardware; UART0.c, UART5.c, UART7.c",CR-002,evidence/SYS-22_HardwareSystem.mov,In Progress,
CN-01,Constraint,Must use different baud rates for each serial link,System Overview,"UART0.c:UART0_Init(), UART5.c:UART5_Init(), UART7.c:UART7_Init()",CR-003,"evidence/SYS-20_UART0BaudRates.mov, evidence/SYS-21_UART5_7BaudRate.mov",Done,
CN-02,Constraint,Must use different UART modules for each MCU,System Overview,"UART0.c:UART0_Init(), UART5.c:UART5_Init(), UART7.c:UART7_Init()",CR-004,"evidence/Dataflow.png, evidence/Callgraph.png",Done,
CN-03,Constraint,"Cannot use baud rates 115200, 38400, 57600",System Overview,"UART0.c:UART0_Init(), UART5.c:UART5_Init(), UART7.c:UART7_Init()",CR-005,"evidence/SYS-20_UART0BaudRates.mov, evidence/SYS-21_UART5_7BaudRate.mov",Done,
RQ-03,Functional,Display Main Menu on PC Terminal 1 (PC1),Main Menu,Main.c:main(),TC-INT-001,evidence/SYS-15_MainStart.png,Done,
RQ-04,Functional,Display Waiting Screen on PC Terminal 2 (PC2),Main Menu,Main.c:main(),TC-INT-002,evidence/SYS-15_MainStart.png,Done,
RQ-05,Functional,System stays in selected communication mode until it exits,System Overview,Main.c:main(),TC-SYS-001,"evidence/SYS-19_Mode1Exit.mov, evidence/SYS-10_Mode2Exit.mov, evidence/SYS-13_Mode3MCU1Exit.mov, evidence/SYS-14_Mode3MCU2Exit.mov",Done,
CN-04,Constraint,"Use UART RX interrupt to read user input from Main Menu (1,2,3)",Main Menu,RingBuffer.c:RingBuffer();,TC-INT-003,"evidence/Dataflow.png, evidence/Callgraph.png",Done,
RQ-06,Functional,Input '1' and hit enter on PC1 in Main Menu to enter Mode 1,Mode 1 Overview,Main.c:main(),TC-INT-004,evidence/SYS-16_Mode1Enter.mov,Done,
RQ-07,Design,Mode 1: PC2 only displays waiting screen,Mode 1 Overview,Mode1.c:Mode1_Function(),TC-INT-005,evidence/SYS-16_Mode1Enter.mov,Done,
RQ-08,Design,Mode 1: PC1 shows Mode 1 Menu,Mode 1 Overview,Mode1.c:Mode1_Function(),TC-INT-006,evidence/SYS-16_Mode1Enter.mov,Done,
